"the_id","the_site","the_findspot","latinsitename","long","lat","pleiades","count_stamps","avg_datemin","avg_datemax","min_datemin","max_datemin","min_datemax","max_datemax","q_start","q_end","q_interval","n_dies","die_repetition","q_repetition","avg_interval","unc_start_years","unc_end_years","unc_interval_years","midpoint_year","n_stamps_die","k_eff","k_is_fallback","sigma_eff","p_k_min","p_k_max","p_tau","p_w","eff_start","eff_end"
1003524,"Inchtuthil","Gutter",NULL,-3.422952,56.541347,"89206",3,63,97,60,65,90,110,0.955,0.887,0.700,3,1.000,0.000,"63 to 97",3,12,12,80.0,3,1.3607,False,11.932,0.500,1.500,20.000,1.000,63.8,96.2
1003531,"Nijmegen","Barbarossastraat","Ulpia Noviomagus",5.866666,51.833328,"98921",7,65,85,65,65,85,85,1.000,1.000,1.000,2,3.500,0.714,"65 to 85",0,0,0,75.0,7,1.2047,False,5.774,0.500,1.500,20.000,1.000,68.0,82.0
1004709,"Pecio del Guadiaro","Shipwreck",NULL,-5.07193,36.36909,NULL,32,66,94,15,80,50,110,0.827,0.881,0.537,19,1.684,0.406,"66 to 94",13,12,17,80.4,32,0.7019,False,14.642,0.500,1.500,20.000,1.000,70.1,90.7
1001033,"Köln","Hafen","Colonia Claudia Ara Agrippinensium",6.95427,50.93835,"108751",26,69,90,65,70,90,100,0.968,0.979,0.871,4,6.500,0.846,"69 to 90",2,2,3,79.5,26,0.7725,False,6.519,0.500,1.500,20.000,1.000,74.5,84.6
1003470,"Chesterholm-Vindolanda","Per.1 Ditch",NULL,-2.359504,54.991588,"89313",9,73,102,65,80,90,110,0.914,0.937,0.722,8,1.125,0.111,"73 to 102",7,7,9,87.8,9,1.1376,False,10.089,0.500,1.500,20.000,1.000,76.3,99.3
1003782,"Bregenz","cellar","Brigantium",9.7471,47.50311,"187325",43,81,110,50,160,70,200,0.732,0.766,0.258,40,1.075,0.070,"81 to 110",25,29,39,95.6,43,0.6165,False,28.426,0.500,1.500,20.000,1.000,78.1,113.1
1000136,"London","Second Fire","Londinium",-0.09184,51.51279,"79574",21,102,130,100,110,125,145,0.964,0.945,0.743,9,2.333,0.571,"102 to 130",4,7,8,116.0,21,0.8499,False,9.724,0.500,1.500,20.000,1.000,107.7,124.2
1000737,"Saalburg","Erdkastell",NULL,8.566659,50.271522,"109297",7,104,144,90,130,135,165,0.841,0.913,0.573,5,1.400,0.286,"104 to 144",18,13,22,123.6,7,1.2047,False,19.326,0.500,1.500,20.000,1.000,100.3,146.9
1003782,"Bregenz","shop","Brigantium",9.7471,47.50311,NULL,6,130,155,120,140,140,170,0.919,0.924,0.518,4,1.500,0.333,"130 to 155",11,12,16,142.5,6,1.2408,False,13.208,0.500,1.500,20.000,1.000,126.1,158.9
1002513,"Castleford","Pottery Shop",NULL,-1.35,53.71667,"79553",70,130,160,100,145,135,180,0.941,0.949,0.676,53,1.321,0.243,"130 to 160",8,8,12,145.0,70,0.5302,False,11.615,0.500,1.500,20.000,1.000,138.8,151.2
1002387,"Helsoven","tumulus",NULL,5.266667,50.816667,NULL,5,130,160,110,145,145,175,0.907,0.933,0.568,5,1.000,0.000,"130 to 160",13,11,17,145.0,5,1.2788,False,14.713,0.500,1.500,20.000,1.000,126.2,163.8
1003870,"Verulamium","Second Fire",NULL,-0.333333,51.75,"79739",6,131,161,110,145,145,175,0.915,0.941,0.604,6,1.000,0.000,"131 to 161",12,10,15,145.8,6,1.2408,False,13.688,0.500,1.500,20.000,1.000,128.8,162.8
1003896,"Alcester","Pit",NULL,-1.866667,52.21667,NULL,10,139,177,135,145,170,180,0.971,0.976,0.858,6,1.667,0.400,"139 to 177",4,4,6,157.8,10,1.1065,False,11.493,0.500,1.500,20.000,1.000,145.0,170.5
1000535,"Rougham","tumulus",NULL,0.69727,52.755577,NULL,4,143,175,130,150,165,180,0.941,0.960,0.709,4,1.000,0.000,"143 to 175",9,7,11,158.8,4,1.3187,False,12.205,0.500,1.500,20.000,1.000,142.7,174.8
1003365,"Budapest","Aquincum, Hoard",NULL,19.04045,47.49835,"197130",4,144,173,130,155,160,180,0.931,0.951,0.626,4,1.000,0.000,"144 to 173",10,9,13,158.1,4,1.3187,False,12.583,0.500,1.500,20.000,1.000,141.5,174.7
1001099,"Eschenz","shop",NULL,8.866666,47.650001,NULL,31,153,191,135,160,160,220,0.937,0.895,0.539,16,1.938,0.484,"153 to 191",10,21,23,172.3,31,0.7122,False,18.487,0.500,1.500,20.000,1.000,159.2,185.5
1000853,"Wroxeter","gutter",NULL,-2.65,52.666671,NULL,15,158,191,135,170,170,210,0.947,0.946,0.660,13,1.154,0.133,"158 to 191",9,11,14,174.2,15,0.9724,False,13.236,0.500,1.500,20.000,1.000,161.3,187.0
1000136,"London","New Fresh Wharf: quay","Londinium",-0.09184,51.51279,"79574",159,161,197,60,230,90,275,0.867,0.880,0.393,120,1.325,0.245,"161 to 197",23,25,34,179.2,159,0.5004,False,26.120,0.500,1.500,20.000,1.000,166.1,192.2
1003076,"Langenhain","store",NULL,8.644794,50.365103,"109100",13,168,242,120,220,240,250,0.804,0.986,0.612,5,2.600,0.615,"168 to 242",37,3,37,205.0,13,1.0220,False,29.767,0.500,1.500,20.000,1.000,174.6,235.4
