the_id,the_site,the_findspot,latinsitename,long,lat,pleiades,count_stamps,avg_datemin,avg_datemax,min_datemin,max_datemin,min_datemax,max_datemax,q_start,q_end,q_interval,n_dies,die_repetition,q_repetition,avg_interval,unc_start_years,unc_end_years,unc_interval_years,unc_start_years_exact,unc_end_years_exact,midpoint_year,n_stamps_die,k_eff,k_no_dierecord,sigma_eff,p_k_min,p_k_max,p_tau,p_w,p_t0,eff_start,eff_end,n_stamps_wide,n_potters_wide,max_potter_span
1003524,Inchtuthil,Gutter,,-3.422952,56.541347,89206,3,63,97,60,65,90,110,0.866,0.561,0.7,3,1.0,0.0,63 to 97,3,12,12,2.886751,11.547005,80.0,3,1.1065,False,11.932,0.5,1.5,6.0,1.0,20.0,66.8,93.2,0,0,45
1003531,Nijmegen,Barbarossastraat,Ulpia Noviomagus,5.866666,51.833328,98921,7,65,85,65,65,85,85,1.0,1.0,1.0,2,3.5,0.714,65 to 85,0,0,0,0.0,0.0,75.0,7,0.8114,False,5.774,0.5,1.5,6.0,1.0,20.0,70.3,79.7,0,0,20
1001033,Köln,Hafen,Colonia Claudia Ara Agrippinensium,6.95427,50.93835,108751,26,69,90,65,70,90,100,0.893,0.907,0.871,4,6.5,0.846,69 to 90,2,2,3,2.261722,1.961161,79.519,26,0.5131,False,6.519,0.5,1.5,6.0,1.0,20.0,76.2,82.9,0,0,30
1004709,Pecio del Guadiaro,Shipwreck,,-5.07193,36.36909,,40,71,100,15,90,50,120,0.482,0.475,0.481,23,1.739,0.425,71 to 100,15,15,21,14.597155,14.884168,85.25,40,0.5013,False,16.836,0.5,1.5,6.0,1.0,20.0,76.8,93.7,0,0,35
1003470,Chesterholm-Vindolanda,Per.1 Ditch,,-2.359504,54.991588,89313,9,73,102,65,80,90,110,0.718,0.717,0.722,8,1.125,0.111,73 to 102,7,7,9,6.614378,6.666667,87.778,9,0.7231,False,10.089,0.5,1.5,6.0,1.0,20.0,80.5,95.1,0,0,45
1000136,London,Second Fire,Londinium,-0.09184,51.51279,79574,23,102,129,100,110,120,145,0.835,0.686,0.734,11,2.091,0.522,102 to 129,4,8,8,3.611576,7.531226,115.435,23,0.5216,False,9.594,0.5,1.5,6.0,1.0,20.0,110.4,120.4,0,0,35
1000737,Saalburg,Erdkastell,,8.566659,50.271522,109297,9,108,145,90,130,135,165,0.413,0.556,0.565,7,1.286,0.222,108 to 145,18,12,21,17.6973,11.726039,126.389,9,0.7231,False,18.157,0.5,1.5,6.0,1.0,20.0,113.3,139.5,0,0,45
1002513,Castleford,Pottery Shop,,-1.35,53.71667,79553,86,130,158,100,145,135,180,0.693,0.655,0.672,65,1.323,0.244,130 to 158,7,8,11,7.330623,8.452814,143.808,86,0.5,False,11.163,0.5,1.5,6.0,1.0,20.0,138.2,149.4,0,0,45
1002387,Helsoven,tumulus,,5.266667,50.816667,,5,130,160,110,145,145,175,0.529,0.572,0.568,5,1.0,0.0,130 to 160,13,11,17,12.747549,11.18034,145.0,5,0.9346,False,14.713,0.5,1.5,6.0,1.0,20.0,131.2,158.8,0,0,35
1003870,Verulamium,Second Fire,,-0.333333,51.75,79739,6,131,161,110,145,145,175,0.56,0.616,0.604,6,1.0,0.0,131 to 161,12,10,15,11.583034,9.703951,145.833,6,0.8679,False,13.688,0.5,1.5,6.0,1.0,20.0,134.0,157.7,0,0,35
1003896,Alcester,Pit,,-1.866667,52.21667,79288,10,139,177,135,145,170,180,0.814,0.81,0.858,6,1.667,0.4,139 to 177,4,4,6,4.116363,4.21637,157.75,10,0.6889,False,11.493,0.5,1.5,6.0,1.0,20.0,149.8,165.7,0,0,45
1000535,Rougham,tumulus,,0.69727,52.755577,79661,4,143,175,130,150,165,180,0.649,0.702,0.709,4,1.0,0.0,143 to 175,9,7,11,8.660254,7.071068,158.75,4,1.0134,False,12.205,0.5,1.5,6.0,1.0,20.0,146.4,171.1,0,0,35
1003365,Budapest,"Aquincum, Hoard",,19.04045,47.49835,197130,4,144,173,130,155,160,180,0.597,0.649,0.626,4,1.0,0.0,144 to 173,10,9,13,10.307764,8.660254,158.125,4,1.0134,False,12.583,0.5,1.5,6.0,1.0,20.0,145.4,170.9,0,0,30
1001099,Eschenz,shop,,8.866666,47.650001,187573,31,153,191,135,160,160,220,0.606,0.348,0.539,16,1.938,0.484,153 to 191,10,21,23,10.032206,21.133218,172.339,31,0.5057,False,18.487,0.5,1.5,6.0,1.0,20.0,163.0,181.7,0,0,65
1000853,Wroxeter,gutter,,-2.65,52.666671,79741,16,156,188,130,170,150,210,0.582,0.485,0.57,14,1.143,0.125,156 to 188,11,14,18,10.834936,14.476993,172.031,16,0.5695,False,15.458,0.5,1.5,6.0,1.0,20.0,163.2,180.8,0,0,50
1000136,London,New Fresh Wharf: quay,Londinium,-0.09184,51.51279,79574,170,163,202,60,240,90,275,0.291,0.235,0.368,131,1.298,0.23,163 to 202,25,29,38,24.713887,28.946222,182.471,170,0.5,False,28.696,0.5,1.5,6.0,1.0,20.0,168.1,196.8,0,0,80
1003076,Langenhain,store,,8.644794,50.365103,109100,13,195,242,170,220,240,250,0.396,0.848,0.669,5,2.6,0.615,195 to 242,19,3,19,18.536174,3.301126,218.846,13,0.6146,False,17.582,0.5,1.5,6.0,1.0,20.0,208.0,229.7,0,0,70
